treat,pool,q,m
pa,HUM,24.19276991,22.02
pa,HUM,23.28663717,22.02
pa,HUM,33.13717699,22.02
s2a,HUM,26.27797619,26.2
s2a,HUM,40.13824405,26.2
s2a,HUM,30.55691964,26.2
s4a,HUM,43.81370968,32.67
s4a,HUM,43.03306452,32.67
s4a,HUM,34.98266129,32.67
h2a,HUM,27.94275093,28.91
h2a,HUM,32.44680973,28.91
h2a,HUM,45.44116593,28.91
h4a,HUM,47.50942293,37.99
h4a,HUM,43.48534753,37.99
h4a,HUM,52.49810721,37.99
pa,BIO,0.58,0.637230088
pa,BIO,0.58,0.613362832
pa,BIO,0.58,0.872823009
s2a,BIO,0.68,0.68202381
s2a,BIO,0.68,1.041755952
s2a,BIO,0.68,0.793080357
s4a,BIO,0.81,1.086290323
s4a,BIO,0.81,1.066935484
s4a,BIO,0.81,0.86733871
h2a,BIO,0.68,0.657249071
h2a,BIO,0.68,0.763190267
h2a,BIO,0.68,1.068834066
h4a,BIO,1,1.250577071
h4a,BIO,1,1.144652475
h4a,BIO,1,1.381892793
pa,DPM,0.11834375,0.35
pa,DPM,0.028969595,0.35
pa,DPM,0.050844595,0.35
s2a,DPM,0.030961398,0.13
s2a,DPM,0.118543336,0.13
s2a,DPM,0.069118718,0.13
s4a,DPM,0.096144578,0.38
s4a,DPM,0.096144578,0.38
s4a,DPM,0.152065404,0.38
h2a,DPM,0.034152154,0.09
h2a,DPM,0.018395967,0.09
h2a,DPM,0.054280477,0.09
h4a,DPM,0.082918455,0.28
h4a,DPM,0.113562232,0.28
h4a,DPM,0.105550787,0.28
pa,RPM,5.57,1.88335625
pa,RPM,5.57,0.461030405
pa,RPM,5.57,0.809155405
s2a,RPM,13.6,3.239038602
s2a,RPM,13.6,12.40145666
s2a,RPM,13.6,7.230881282
s4a,RPM,11.24,2.843855422
s4a,RPM,11.24,2.843855422
s4a,RPM,11.24,4.497934596
h2a,RPM,10.82,4.105847846
h2a,RPM,10.82,2.211604033
h2a,RPM,10.82,6.525719523
h4a,RPM,13.7,4.057081545
h4a,RPM,13.7,5.556437768
h4a,RPM,13.7,5.164449213
pa,IOM,0.16,2.18
pa,IOM,0.19,2.18
pa,IOM,0.3,2.18
s2a,IOM,0.18,3.37
s2a,IOM,0.35,3.37
s2a,IOM,0.34,3.37
s4a,IOM,0.21,3.34
s4a,IOM,0.17,3.34
s4a,IOM,0.29,3.34
h2a,IOM,0.23,3.36
h2a,IOM,0.21,3.36
h2a,IOM,0.27,3.36
h4a,IOM,0.25,4.57
h4a,IOM,0.41,4.57
h4a,IOM,0.69,4.57
